,date,team_id,team_points_total,3P%,3P_made,FG%,FG_made,Total_Reb,team_Ast,WinPct
284,2007-11-26,26,112,0.4166666666666667,5,0.5512820512820513,43,42,18,35.714285714285715
285,2007-11-26,25,74,0.2,3,0.3902439024390244,32,40,18,35.714285714285715
286,2007-11-26,20,113,0.4117647058823529,7,0.5316455696202531,42,32,15,30.76923076923077
287,2007-11-26,19,94,0.3181818181818182,7,0.4189189189189189,31,34,22,62.5
288,2007-11-26,13,71,0.25,3,0.32894736842105265,25,38,12,46.15384615384615
289,2007-11-26,10,129,0.4642857142857143,13,0.5148514851485149,52,39,31,46.15384615384615
290,2007-11-26,7,98,0.14285714285714285,3,0.39285714285714285,33,43,19,64.28571428571429
291,2007-11-27,3,103,0.2916666666666667,7,0.4523809523809524,38,45,29,46.66666666666666
292,2007-11-27,17,99,0.19047619047619047,4,0.49333333333333335,37,35,20,58.333333333333336
293,2007-11-27,16,110,0.5,5,0.5797101449275363,40,31,22,28.57142857142857
294,2007-11-27,14,106,0.36363636363636365,4,0.45569620253164556,36,48,24,57.14285714285714
295,2007-11-27,8,110,0.4090909090909091,9,0.36082474226804123,35,47,25,60.0
296,2007-11-27,6,109,0.25,5,0.4810126582278481,38,47,24,60.0
297,2007-11-27,5,90,0.4166666666666667,5,0.3977272727272727,35,59,21,23.07692307692308
298,2007-11-28,28,103,0.4,8,0.5116279069767442,44,46,28,53.333333333333336
299,2007-11-28,21,94,0.2777777777777778,5,0.3541666666666667,34,48,18,12.5
300,2007-11-28,27,109,0.47619047619047616,10,0.5657894736842105,43,38,30,81.25
301,2007-11-28,26,96,0.2777777777777778,5,0.3448275862068966,30,56,10,33.33333333333333
302,2007-11-28,25,89,0.3333333333333333,8,0.4,36,47,26,33.33333333333333
303,2007-11-28,24,94,0.4117647058823529,7,0.4146341463414634,34,34,18,73.33333333333333
304,2007-11-28,23,95,0.3125,5,0.42857142857142855,33,39,20,28.57142857142857
305,2007-11-28,9,109,0.18181818181818182,2,0.5844155844155844,45,43,30,64.28571428571429
